"","RUNNERS.OUTS.STATES","c00","c10","c20","c30","c01","c11","c21","c31","c02","c12","c22","c32"
"000 0",0.513,0.515,0.55,0.61,0.708,0.474,0.501,0.548,0.644,0.416,0.44,0.479,0.569
"001 0",1.377,1.379,1.414,1.474,1.572,1.338,1.365,1.412,1.508,1.28,1.304,1.343,1.433
"010 0",1.112,1.114,1.149,1.209,1.307,1.073,1.1,1.147,1.243,1.015,1.039,1.078,1.168
"011 0",1.988,1.99,2.025,2.085,2.183,1.949,1.976,2.023,2.119,1.891,1.915,1.954,2.044
"100 0",0.864,0.866,0.901,0.961,1.059,0.825,0.852,0.899,0.995,0.767,0.791,0.83,0.92
"101 0",1.768,1.77,1.805,1.865,1.963,1.729,1.756,1.803,1.899,1.671,1.695,1.734,1.824
"110 0",1.453,1.455,1.49,1.55,1.648,1.414,1.441,1.488,1.584,1.356,1.38,1.419,1.509
"111 0",2.314,2.316,2.351,2.411,2.509,2.275,2.302,2.349,2.445,2.217,2.241,2.28,2.37
"000 1",0.256,0.258,0.293,0.353,0.451,0.217,0.244,0.291,0.387,0.159,0.183,0.222,0.312
"001 1",0.939,0.941,0.976,1.036,1.134,0.9,0.927,0.974,1.07,0.842,0.866,0.905,0.995
"010 1",0.661,0.663,0.698,0.758,0.856,0.622,0.649,0.696,0.792,0.564,0.588,0.627,0.717
"011 1",1.414,1.416,1.451,1.511,1.609,1.375,1.402,1.449,1.545,1.317,1.341,1.38,1.47
"100 1",0.519,0.521,0.556,0.616,0.714,0.48,0.507,0.554,0.65,0.422,0.446,0.485,0.575
"101 1",1.158,1.16,1.195,1.255,1.353,1.119,1.146,1.193,1.289,1.061,1.085,1.124,1.214
"110 1",0.92,0.922,0.957,1.017,1.115,0.881,0.908,0.955,1.051,0.823,0.847,0.886,0.976
"111 1",1.553,1.555,1.59,1.65,1.748,1.514,1.541,1.588,1.684,1.456,1.48,1.519,1.609
"000 2",0.098,0.1,0.135,0.195,0.293,0.059,0.086,0.133,0.229,0.001,0.025,0.064,0.154
"001 2",0.351,0.353,0.388,0.448,0.546,0.312,0.339,0.386,0.482,0.254,0.278,0.317,0.407
"010 2",0.323,0.325,0.36,0.42,0.518,0.284,0.311,0.358,0.454,0.226,0.25,0.289,0.379
"011 2",0.554,0.556,0.591,0.651,0.749,0.515,0.542,0.589,0.685,0.457,0.481,0.52,0.61
"100 2",0.218,0.22,0.255,0.315,0.413,0.179,0.206,0.253,0.349,0.121,0.145,0.184,0.274
"101 2",0.484,0.486,0.521,0.581,0.679,0.445,0.472,0.519,0.615,0.387,0.411,0.45,0.54
"110 2",0.431,0.433,0.468,0.528,0.626,0.392,0.419,0.466,0.562,0.334,0.358,0.397,0.487
"111 2",0.739,0.741,0.776,0.836,0.934,0.7,0.727,0.774,0.87,0.642,0.666,0.705,0.795
