Team,Opponent,Wins,Losses
ARI,ATL,3,0
ARI,CHC,2,5
ARI,CIN,1,2
ARI,COL,5,8
ARI,LAD,4,5
ARI,MIA,2,4
ARI,MIL,0,0
ARI,NYM,0,0
ARI,PHI,4,3
ARI,PIT,1,5
ARI,SD,5,4
ARI,SF,5,9
ARI,STL,4,3
ARI,WSH,0,0
ARI,AL,5,9
ATL,ARI,0,3
ATL,CHC,3,3
ATL,CIN,3,4
ATL,COL,1,6
ATL,LAD,1,5
ATL,MIA,8,4
ATL,MIL,0,3
ATL,NYM,6,7
ATL,PHI,3,6
ATL,PIT,1,3
ATL,SD,1,2
ATL,SF,2,2
ATL,STL,0,3
ATL,WSH,0,6
ATL,AL,4,9
CHC,ARI,5,2
CHC,ATL,3,3
CHC,CIN,10,3
CHC,COL,1,2
CHC,LAD,3,1
CHC,MIA,1,3
CHC,MIL,5,3
CHC,NYM,2,5
CHC,PHI,5,1
CHC,PIT,9,3
CHC,SD,1,2
CHC,SF,1,2
CHC,STL,4,5
CHC,WSH,5,2
CHC,AL,4,1
CIN,ARI,2,1
CIN,ATL,4,3
CIN,CHC,3,10
CIN,COL,5,2
CIN,LAD,0,3
CIN,MIA,0,3
CIN,MIL,5,5
CIN,NYM,0,3
CIN,PHI,4,2
CIN,PIT,4,4
CIN,SD,1,3
CIN,SF,1,2
CIN,STL,2,4
CIN,WSH,3,4
CIN,AL,4,11
COL,ARI,8,5
COL,ATL,6,1
COL,CHC,2,1
COL,CIN,2,5
COL,LAD,3,6
COL,MIA,1,3
COL,MIL,0,0
COL,NYM,3,0
COL,PHI,2,2
COL,PIT,2,5
COL,SD,5,7
COL,SF,6,7
COL,STL,1,2
COL,WSH,0,0
COL,AL,6,7
LAD,ARI,5,4
LAD,ATL,5,1
LAD,CHC,1,3
LAD,CIN,3,0
LAD,COL,6,3
LAD,MIA,0,4
LAD,MIL,5,2
LAD,NYM,4,3
LAD,PHI,0,0
LAD,PIT,1,3
LAD,SD,8,5
LAD,SF,4,6
LAD,STL,4,2
LAD,WSH,5,1
LAD,AL,5,7
MIA,ARI,4,2
MIA,ATL,4,8
MIA,CHC,3,1
MIA,CIN,3,0
MIA,COL,3,1
MIA,LAD,4,0
MIA,MIL,4,2
MIA,NYM,5,7
MIA,PHI,5,5
MIA,PIT,3,1
MIA,SD,2,1
MIA,SF,1,2
MIA,STL,2,1
MIA,WSH,6,7
MIA,AL,4,7
MIL,ARI,0,0
MIL,ATL,3,0
MIL,CHC,3,5
MIL,CIN,5,5
MIL,COL,0,0
MIL,LAD,2,5
MIL,MIA,2,4
MIL,NYM,2,5
MIL,PHI,3,4
MIL,PIT,2,4
MIL,SD,2,2
MIL,SF,1,5
MIL,STL,3,9
MIL,WSH,4,2
MIL,AL,9,5
NYM,ARI,0,0
NYM,ATL,7,6
NYM,CHC,5,2
NYM,CIN,3,0
NYM,COL,0,3
NYM,LAD,3,4
NYM,MIA,7,5
NYM,MIL,5,2
NYM,PHI,5,4
NYM,PIT,3,3
NYM,SD,2,2
NYM,SF,2,1
NYM,STL,0,0
NYM,WSH,4,9
NYM,AL,6,4
PHI,ARI,3,4
PHI,ATL,6,3
PHI,CHC,1,5
PHI,CIN,2,4
PHI,COL,2,2
PHI,LAD,0,0
PHI,MIA,5,5
PHI,MIL,4,3
PHI,NYM,4,5
PHI,PIT,1,2
PHI,SD,3,1
PHI,SF,1,2
PHI,STL,1,3
PHI,WSH,4,8
PHI,AL,8,8
PIT,ARI,5,1
PIT,ATL,3,1
PIT,CHC,3,9
PIT,CIN,4,4
PIT,COL,5,2
PIT,LAD,3,1
PIT,MIA,1,3
PIT,MIL,4,2
PIT,NYM,3,3
PIT,PHI,2,1
PIT,SD,1,2
PIT,SF,1,3
PIT,STL,8,5
PIT,WSH,1,2
PIT,AL,7,8
SD,ARI,4,5
SD,ATL,2,1
SD,CHC,2,1
SD,CIN,3,1
SD,COL,7,5
SD,LAD,5,8
SD,MIA,1,2
SD,MIL,2,2
SD,NYM,2,2
SD,PHI,1,3
SD,PIT,2,1
SD,SF,3,9
SD,STL,1,6
SD,WSH,4,3
SD,AL,4,7
SF,ARI,9,5
SF,ATL,2,2
SF,CHC,2,1
SF,CIN,2,1
SF,COL,7,6
SF,LAD,6,4
SF,MIA,2,1
SF,MIL,5,1
SF,NYM,1,2
SF,PHI,2,1
SF,PIT,3,1
SF,SD,9,3
SF,STL,1,2
SF,WSH,0,0
SF,AL,7,10
STL,ARI,3,4
STL,ATL,3,0
STL,CHC,5,4
STL,CIN,4,2
STL,COL,2,1
STL,LAD,2,4
STL,MIA,1,2
STL,MIL,9,3
STL,NYM,0,0
STL,PHI,3,1
STL,PIT,5,8
STL,SD,6,1
STL,SF,2,1
STL,WSH,2,5
STL,AL,5,10
WSH,ARI,0,0
WSH,ATL,6,0
WSH,CHC,2,5
WSH,CIN,4,3
WSH,COL,0,0
WSH,LAD,1,5
WSH,MIA,7,6
WSH,MIL,2,4
WSH,NYM,9,4
WSH,PHI,8,4
WSH,PIT,2,1
WSH,SD,3,4
WSH,SF,0,0
WSH,STL,5,2
WSH,AL,9,3
