Total,Per Team 
1990,8.5126,4.2563
1991,8.6155,4.30775
1992,8.2341,4.11705
1993,9.1952,4.5976
1994,9.845,4.9225
1995,9.6946,4.8473
1996,10.071,5.0355
1997,9.534,4.767
1998,9.5794,4.7897
1999,10.1693,5.08465
2000,10.2804,5.1402
2001,9.5508,4.7754
2002,9.2366,4.6183
2003,9.456,4.728
2004,9.6277,4.81385
2005,9.1835,4.59175
2006,9.7155,4.85775
2007,9.5936,4.7968
2008,9.3019,4.65095
2009,9.2259,4.61295
2010,8.7687,4.38435
2011,8.5665,4.28325
2012,8.649,4.3245
2013,8.332,4.166
2014,8.1321,4.06605
2015,8.5002,4.2501
2016,8.2906,4.1453
