"","V1","V2"
"1 0 000 0 -10",NA,0
"1 0 000 0 -9",NA,0
"1 0 000 0 -8",0,1
"1 0 000 0 -7",NA,0
"1 0 000 0 -6",0,5
"1 0 000 0 -5",0.157894736842105,19
"1 0 000 0 -4",0.139240506329114,79
"1 0 000 0 -3",0.224299065420561,214
"1 0 000 0 -2",0.307017543859649,342
"1 0 000 0 -1",0.432642487046632,1158
"1 0 000 0 0",0.53855184615639,60477
"1 0 000 0 1",NA,0
"1 0 000 0 2",0,1
"1 0 000 0 3",NA,0
"1 0 000 0 4",NA,0
"1 0 000 0 5",NA,0
"1 0 000 0 6",NA,0
"1 0 000 0 7",NA,0
"1 0 000 0 8",NA,0
"1 0 000 0 9",NA,0
"1 0 000 0 10",NA,0
"2 0 000 0 -10",0,7
"2 0 000 0 -9",0,7
"2 0 000 0 -8",0.0625,16
"2 0 000 0 -7",0.0967741935483871,31
"2 0 000 0 -6",0.0560747663551402,107
"2 0 000 0 -5",0.137820512820513,312
"2 0 000 0 -4",0.141263940520446,807
"2 0 000 0 -3",0.224055348589675,1879
"2 0 000 0 -2",0.314139941690962,4116
"2 0 000 0 -1",0.413599357871804,8721
"2 0 000 0 0",0.535096153846154,31200
"2 0 000 0 1",0.642720076757016,8338
"2 0 000 0 2",0.732815442561205,4248
"2 0 000 0 3",0.815097945532728,2093
"2 0 000 0 4",0.896410256410256,975
"2 0 000 0 5",0.89058524173028,393
"2 0 000 0 6",0.923076923076923,143
"2 0 000 0 7",1,51
"2 0 000 0 8",1,24
"2 0 000 0 9",0.923076923076923,13
"2 0 000 0 10",1,6
"3 0 000 0 -10",0,25
"3 0 000 0 -9",0,39
"3 0 000 0 -8",0.0238095238095238,84
"3 0 000 0 -7",0.0276243093922652,181
"3 0 000 0 -6",0.0582278481012658,395
"3 0 000 0 -5",0.120689655172414,696
"3 0 000 0 -4",0.129310344827586,1392
"3 0 000 0 -3",0.221859114015977,2754
"3 0 000 0 -2",0.287928065812129,5227
"3 0 000 0 -1",0.400998336106489,9616
"3 0 000 0 0",0.536169166461765,20335
"3 0 000 0 1",0.653567530018855,10077
"3 0 000 0 2",0.751162790697674,5590
"3 0 000 0 3",0.825786380919461,2893
"3 0 000 0 4",0.887974683544304,1580
"3 0 000 0 5",0.909090909090909,836
"3 0 000 0 6",0.946882217090069,433
"3 0 000 0 7",0.977777777777778,225
"3 0 000 0 8",0.958333333333333,120
"3 0 000 0 9",0.980769230769231,52
"3 0 000 0 10",1,26
"4 0 000 0 -10",0,52
"4 0 000 0 -9",0.0227272727272727,88
"4 0 000 0 -8",0.0106382978723404,188
"4 0 000 0 -7",0.0351906158357771,341
"4 0 000 0 -6",0.0513595166163142,662
"4 0 000 0 -5",0.08578856152513,1154
"4 0 000 0 -4",0.12734962406015,2128
"4 0 000 0 -3",0.199837530463038,3693
"4 0 000 0 -2",0.27614709851552,5928
"4 0 000 0 -1",0.401818978742056,9126
"4 0 000 0 0",0.526085170477886,14606
"4 0 000 0 1",0.653440270156184,9476
"4 0 000 0 2",0.764302788844622,6275
"4 0 000 0 3",0.836698637051994,3962
"4 0 000 0 4",0.896952686447474,2494
"4 0 000 0 5",0.934006734006734,1485
"4 0 000 0 6",0.952853598014888,806
"4 0 000 0 7",0.97136563876652,454
"4 0 000 0 8",0.982978723404255,235
"4 0 000 0 9",1,115
"4 0 000 0 10",1,43
"5 0 000 0 -10",0.0099009900990099,101
"5 0 000 0 -9",0.00584795321637427,171
"5 0 000 0 -8",0.0204081632653061,343
"5 0 000 0 -7",0.0321428571428571,560
"5 0 000 0 -6",0.0419977298524404,881
"5 0 000 0 -5",0.0608638743455497,1528
"5 0 000 0 -4",0.0973344103392569,2476
"5 0 000 0 -3",0.171157684630739,4008
"5 0 000 0 -2",0.255921815471261,6037
"5 0 000 0 -1",0.377387590461502,8429
"5 0 000 0 0",0.523642574613448,11124
"5 0 000 0 1",0.675806815617242,8862
"5 0 000 0 2",0.783036263060848,6508
"5 0 000 0 3",0.864493235750721,4509
"5 0 000 0 4",0.912744388124547,2762
"5 0 000 0 5",0.94991558806978,1777
"5 0 000 0 6",0.966101694915254,1121
"5 0 000 0 7",0.988005997001499,667
"5 0 000 0 8",0.987714987714988,407
"5 0 000 0 9",1,252
"5 0 000 0 10",1,127
"6 0 000 0 -10",0,131
"6 0 000 0 -9",0,240
"6 0 000 0 -8",0.00858369098712446,466
"6 0 000 0 -7",0.0193452380952381,672
"6 0 000 0 -6",0.0271216097987752,1143
"6 0 000 0 -5",0.0503080082135524,1948
"6 0 000 0 -4",0.0791117279666898,2882
"6 0 000 0 -3",0.140647310804379,4202
"6 0 000 0 -2",0.227012462108454,5938
"6 0 000 0 -1",0.353376739435721,7833
"6 0 000 0 0",0.519030013049152,9196
"6 0 000 0 1",0.694082985514363,8146
"6 0 000 0 2",0.803114571746385,6293
"6 0 000 0 3",0.88672719412019,4626
"6 0 000 0 4",0.936176836861768,3212
"6 0 000 0 5",0.963706233988044,2342
"6 0 000 0 6",0.974137931034483,1508
"6 0 000 0 7",0.992537313432836,938
"6 0 000 0 8",0.996581196581197,585
"6 0 000 0 9",0.993920972644377,329
"6 0 000 0 10",0.995169082125604,207
"7 0 000 0 -10",0,201
"7 0 000 0 -9",0,331
"7 0 000 0 -8",0.00341296928327645,586
"7 0 000 0 -7",0.0116279069767442,860
"7 0 000 0 -6",0.0180635838150289,1384
"7 0 000 0 -5",0.0245051837888784,2122
"7 0 000 0 -4",0.050098231827112,3054
"7 0 000 0 -3",0.0946073793755913,4228
"7 0 000 0 -2",0.183641160949868,5685
"7 0 000 0 -1",0.310652537646403,7172
"7 0 000 0 0",0.527164254887027,7878
"7 0 000 0 1",0.727593220338983,7375
"7 0 000 0 2",0.847617498780289,6149
"7 0 000 0 3",0.915328467153285,4795
"7 0 000 0 4",0.95634576467187,3459
"7 0 000 0 5",0.974793225679401,2539
"7 0 000 0 6",0.989540964555491,1721
"7 0 000 0 7",0.997386759581881,1148
"7 0 000 0 8",0.997237569060773,724
