YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI\
2015,D,albeh001,5,11,10,2,3,1,0,0,0,2,0,0,2,0,0,0,1,0\
2015,D,altuj001,4,23,22,3,3,0,0,0,0,1,1,0,2,1,0,0,0,0\
2015,D,andeb004,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,andre001,6,22,22,4,4,0,0,0,0,1,0,0,4,0,0,0,0,0\
2015,D,arrij001,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,baezj001,6,5,5,4,7,0,0,1,0,3,0,0,0,0,0,0,0,0\
2015,D,bautj002,9,23,22,6,14,2,0,2,0,5,1,0,2,0,0,0,0,0\
2015,D,belta001,5,10,9,4,4,0,0,0,0,1,1,0,1,0,0,0,0,0\
2015,D,bryak001,5,17,17,3,8,0,1,1,0,2,0,0,6,2,0,0,0,0\
2015,D,buted001,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,D,cainl001,8,22,20,5,9,1,0,1,0,2,2,2,5,1,0,0,0,0\
2015,D,carpm002,5,18,17,4,7,0,0,1,0,1,1,0,5,0,0,0,0,0\
2015,D,carre001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,cartc002,3,17,17,5,9,1,0,1,0,1,0,0,7,0,0,0,0,0\
2015,D,castj006,2,15,14,1,1,0,0,0,0,2,1,0,7,1,0,0,0,0\
2015,D,casts001,4,15,14,4,7,0,0,1,0,1,1,1,0,0,0,0,0,0\
2015,D,cespy001,7,9,9,4,7,0,0,1,0,3,0,0,2,0,0,0,0,0\
2015,D,cespy001,8,11,11,1,4,0,0,1,0,1,0,0,6,0,0,0,0,0\
2015,D,chirr001,2,11,11,3,6,0,0,1,0,3,0,0,2,0,0,0,0,0\
2015,D,choos001,9,23,21,5,8,0,0,1,0,2,1,0,6,0,0,1,0,0\
2015,D,coghc001,7,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0\
2015,D,coghc001,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,colac001,3,17,16,6,11,2,0,1,0,2,1,0,5,1,0,0,0,0\
2015,D,confm001,7,6,6,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0\
2015,D,confm001,11,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0\
2015,D,corrc001,6,21,20,7,14,1,0,2,0,4,0,0,5,1,1,0,0,0\
2015,D,crawc002,7,11,11,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0\
2015,D,crawc002,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,cruzt002,2,5,5,1,2,1,0,0,0,1,0,0,3,0,0,0,0,0\
2015,D,cuddm001,7,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,cuddm001,11,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0\
2015,D,darnt001,2,20,19,3,6,0,0,1,0,4,0,0,8,0,0,0,1,0\
2015,D,degrj001,1,5,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0\
2015,D,denoc001,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,denoc001,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,denoc001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,deshd002,8,24,24,7,10,3,0,0,0,2,0,0,2,0,0,0,0,0\
2015,D,donaj001,5,21,18,4,11,1,0,2,0,4,3,0,4,0,0,0,0,0\
2015,D,dudal001,3,20,18,2,2,0,0,0,0,0,2,0,11,0,0,0,0,0\
2015,D,dysoj001,10,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,ellia001,2,8,8,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,encae001,10,23,18,6,10,1,0,1,0,3,5,3,1,0,0,0,0,0\
2015,D,escoa003,6,23,21,6,9,1,1,0,0,0,0,0,4,0,1,1,0,0\
2015,D,ethia001,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,ethia001,9,16,14,4,5,1,0,0,0,2,2,0,3,0,0,0,0,0\
2015,D,ethia001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,famij001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,fielp001,10,21,20,3,3,0,0,0,0,1,1,0,4,1,0,0,0,0\
2015,D,florw001,6,12,10,3,4,1,0,0,0,0,2,1,4,0,0,0,0,0\
2015,D,fowld001,8,18,16,3,7,1,0,1,0,2,1,0,3,0,0,1,0,0\
2015,D,garcg002,11,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,gatte001,10,19,19,4,4,0,0,0,0,1,0,0,5,0,0,0,0,0\
2015,D,gimec001,2,9,8,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0\
2015,D,goinr001,4,20,17,0,0,0,0,0,0,0,1,0,5,1,0,2,0,0\
2015,D,gomec002,8,12,12,3,6,0,0,1,0,2,0,0,4,0,0,0,0,0\
2015,D,gonza003,3,21,19,6,10,1,0,1,0,5,2,0,9,0,0,0,0,0\
2015,D,gonzm002,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,D,gonzm002,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,D,gorda001,7,19,17,4,8,1,0,1,0,2,2,0,5,1,0,0,0,0\
2015,D,granc001,9,21,18,7,9,2,0,0,0,5,3,0,1,0,0,0,0,0\
2015,D,grany001,2,11,10,1,1,0,0,0,0,2,1,0,6,0,0,0,0,0\
2015,D,greiz001,1,5,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0\
2015,D,gricr001,8,5,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,gricr001,9,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0\
2015,D,gricr001,11,1,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0\
2015,D,hamij003,7,19,18,3,4,1,0,0,0,0,1,0,5,0,0,0,0,0\
